time_period_start,time_period_end,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count
2018-03-13T09:00:00.0000000Z,2018-03-13T12:00:00.0000000Z,2018-03-13T09:00:03.0000000Z,2018-03-13T11:59:54.5740000Z,9175.0,9376.9,8855.0,9040.0,6339.964727317,27116
2018-03-13T12:00:00.0000000Z,2018-03-13T15:00:00.0000000Z,2018-03-13T12:00:04.3340000Z,2018-03-13T14:59:56.8120000Z,9040.0,9265.96,8812.5,9082.0,9041.093284042,31377
2018-03-13T15:00:00.0000000Z,2018-03-13T18:00:00.0000000Z,2018-03-13T15:00:03.0320000Z,2018-03-13T17:59:59.6890000Z,9079.9,9326.79,8932.3,9118.02,7864.834213544,31404
2018-03-13T18:00:00.0000000Z,2018-03-13T21:00:00.0000000Z,2018-03-13T18:00:01.1970000Z,2018-03-13T20:59:59.0240000Z,9107.0,9233.99,8999.0,9067.39,4942.364725237,26787
2018-03-13T21:00:00.0000000Z,2018-03-14T00:00:00.0000000Z,2018-03-13T21:00:00.2670000Z,2018-03-13T23:59:59.6870000Z,9045.9,9280.33,9031.47,9146.52,3808.470101822,19723
2018-03-14T00:00:00.0000000Z,2018-03-14T03:00:00.0000000Z,2018-03-14T00:00:04.3560000Z,2018-03-14T02:59:59.2050000Z,9145.42,9370.9,9141.2,9219.99,4947.627317523,20535
2018-03-14T03:00:00.0000000Z,2018-03-14T06:00:00.0000000Z,2018-03-14T03:00:02.6690000Z,2018-03-14T05:59:59.1360000Z,9220.0,9345.94,9052.4,9175.99,4492.023301606,21950
2018-03-14T06:00:00.0000000Z,2018-03-14T09:00:00.0000000Z,2018-03-14T06:00:03.0000000Z,2018-03-14T08:59:58.3010000Z,9198.91,9224.0,9038.9,9110.39,2939.50720013,14339
2018-03-14T09:00:00.0000000Z,2018-03-14T12:00:00.0000000Z,2018-03-14T09:00:00.4990000Z,2018-03-14T11:59:58.9800000Z,9110.4,9140.0,8610.57,8693.72,10972.483384545,33303
2018-03-14T12:00:00.0000000Z,2018-03-14T15:00:00.0000000Z,2018-03-14T12:00:00.0000000Z,2018-03-14T14:59:59.3280000Z,8710.57,8794.53,8530.4,8742.36,8141.772866783,26793
2018-03-14T15:00:00.0000000Z,2018-03-14T18:00:00.0000000Z,2018-03-14T15:00:00.0000000Z,2018-03-14T17:59:56.6490000Z,8743.63,8750.0,8210.1,8315.9,16050.184424969,44675
2018-03-14T18:00:00.0000000Z,2018-03-14T21:00:00.0000000Z,2018-03-14T18:00:03.0000000Z,2018-03-14T20:59:58.9290000Z,8332.0,8363.52,8144.0,8276.0,11662.551363017,35857
2018-03-14T21:00:00.0000000Z,2018-03-15T00:00:00.0000000Z,2018-03-14T21:00:00.0000000Z,2018-03-14T23:59:58.7460000Z,8300.0,8350.0,7900.0,8207.02,15584.961435893,51172
2018-03-15T00:00:00.0000000Z,2018-03-15T03:00:00.0000000Z,2018-03-15T00:00:00.0000000Z,2018-03-15T02:59:58.1560000Z,8195.99,8276.66,7704.2,7792.56,13448.12619081,42073
2018-03-15T03:00:00.0000000Z,2018-03-15T06:00:00.0000000Z,2018-03-15T03:00:00.0000000Z,2018-03-15T05:59:59.7160000Z,7800.04,7997.1,7705.6,7788.6,10282.666810206,37545
2018-03-15T06:00:00.0000000Z,2018-03-15T09:00:00.0000000Z,2018-03-15T06:00:00.2530000Z,2018-03-15T08:59:59.8360000Z,7775.92,8293.13,7621.4,8194.61,11344.698549224,38920
2018-03-15T09:00:00.0000000Z,2018-03-15T12:00:00.0000000Z,2018-03-15T09:00:00.0000000Z,2018-03-15T11:59:59.0410000Z,8196.57,8314.77,8029.2,8247.22,7338.037610172,27418
2018-03-15T12:00:00.0000000Z,2018-03-15T15:00:00.0000000Z,2018-03-15T12:00:02.0000000Z,2018-03-15T14:59:57.5480000Z,8253.99,8425.0,8101.7,8295.0,8178.347220568,27807
2018-03-15T15:00:00.0000000Z,2018-03-15T18:00:00.0000000Z,2018-03-15T15:00:00.3850000Z,2018-03-15T17:59:59.0000000Z,8292.74,8308.26,7944.43,8172.5,11379.584167474,36150
